Book,Chapter,Verse,Depth
Genesis,1,1,5
Genesis,1,2,6
Genesis,1,3,5
Genesis,1,4,7
Genesis,1,5,6
Genesis,1,6,5
Genesis,1,7,8
Genesis,1,8,6
Genesis,1,9,6
Genesis,1,10,5
Genesis,1,11,6
Genesis,1,12,8
Genesis,1,13,5
Genesis,1,14,8
Genesis,1,15,5
Genesis,1,16,7
Genesis,1,17,5
Genesis,1,18,2
Genesis,1,19,5
Genesis,1,20,6
Genesis,1,21,5
Genesis,1,22,3
Genesis,1,23,5
Genesis,1,24,7
Genesis,1,25,5
Genesis,1,26,8
Genesis,1,27,4
Genesis,1,28,8
Genesis,1,29,8
Genesis,1,30,5
Genesis,1,31,3
Genesis,2,1,5
Genesis,2,2,7
Genesis,2,3,5
Genesis,2,4,7
Genesis,2,5,8
Genesis,2,6,6
Genesis,2,7,6
Genesis,2,8,6
Genesis,2,9,7
Genesis,2,10,5
Genesis,2,11,5
Genesis,2,12,6
Genesis,2,13,5
Genesis,2,14,5
Genesis,2,15,5
Genesis,2,16,5
Genesis,2,17,5
Genesis,2,18,5
Genesis,2,19,10
Genesis,2,20,5
Genesis,2,21,6
Genesis,2,22,5
Genesis,2,23,6
Genesis,2,24,5
Genesis,2,25,4
Genesis,3,1,4
Genesis,3,2,6
Genesis,3,3,6
Genesis,3,4,4
Genesis,3,5,6
Genesis,3,6,9
Genesis,3,7,9
Genesis,3,8,6
Genesis,3,9,5
Genesis,3,10,7
Genesis,3,11,8
Genesis,3,12,5
Genesis,3,13,5
Genesis,3,14,9
Genesis,3,15,7
Genesis,3,16,7
Genesis,3,17,10
Genesis,3,18,5
Genesis,3,19,8
Genesis,3,20,4
Genesis,3,21,4
Genesis,3,22,7
Genesis,3,23,6
Genesis,3,24,8
Genesis,4,1,5
Genesis,4,2,8
Genesis,4,3,5
Genesis,4,4,6
Genesis,4,5,6
Genesis,4,6,5
Genesis,4,7,7
Genesis,4,8,6
Genesis,4,9,5
Genesis,4,10,7
Genesis,4,11,7
Genesis,4,12,6
Genesis,4,13,6
Genesis,4,14,6
Genesis,4,15,8
Genesis,4,16,5
Genesis,4,17,6
Genesis,4,18,9
Genesis,4,19,5
Genesis,4,20,6
Genesis,4,21,5
Genesis,4,22,8
Genesis,4,23,7
Genesis,4,24,6
Genesis,4,25,5
Genesis,4,26,6
Genesis,5,1,6
Genesis,5,2,5
Genesis,5,3,6
Genesis,5,4,7
Genesis,5,5,7
Genesis,5,6,5
Genesis,5,7,6
Genesis,5,8,5
Genesis,5,9,5
Genesis,5,10,6
Genesis,5,11,5
Genesis,5,12,5
Genesis,5,13,5
Genesis,5,14,5
Genesis,5,15,4
Genesis,5,16,7
Genesis,5,17,5
Genesis,5,18,5
Genesis,5,19,8
Genesis,5,20,7
Genesis,5,21,5
Genesis,5,22,6
Genesis,5,23,6
Genesis,5,24,4
Genesis,5,25,5
Genesis,5,26,6
Genesis,5,27,5
Genesis,5,28,6
Genesis,5,29,7
Genesis,5,30,7
Genesis,5,31,6
Genesis,5,32,6
Genesis,6,1,4
Genesis,6,2,6
Genesis,6,3,5
Genesis,6,4,7
Genesis,6,5,8
Genesis,6,6,6
Genesis,6,7,8
Genesis,6,8,4
Genesis,6,9,8
Genesis,6,10,7
Genesis,6,11,4
Genesis,6,12,6
