Source,Chapter,Verse,Depth
P,1,7,6
P,1,13,4
P,1,14,5
P,2,24,7
P,2,25,4
P,6,2,4
P,6,3,5
P,6,4,6
P,6,5,7
P,6,6,6
P,6,7,7
P,6,8,7
P,6,9,6
P,6,10,4
P,6,11,5
P,6,12,8
P,6,14,7
P,6,15,5
P,6,16,7
P,6,17,4
P,6,18,5
P,6,19,5
P,6,20,8
P,6,21,5
P,6,22,3
P,6,23,8
P,6,24,4
P,6,25,6
P,7,1,5
P,7,2,5
P,7,3,6
P,7,4,6
P,7,5,6
P,7,6,4
P,7,7,5
P,7,8,5
P,7,9,7
P,7,10,6
P,7,11,5
P,7,12,10
P,7,13,5
P,7,19,10
P,7,20,8
P,7,22,6
P,8,1,6
P,8,2,5
P,8,3,5
P,8,12,6
P,8,13,6
P,8,14,6
P,8,15,6
P,9,8,6
P,9,9,7
P,9,10,8
P,9,11,6
P,9,12,6
P,12,1,5
P,12,2,6
P,12,3,8
P,12,4,8
P,12,5,8
P,12,6,6
P,12,7,7
P,12,8,8
P,12,9,8
P,12,10,7
P,12,11,5
P,12,12,6
P,12,13,12
P,12,14,5
P,12,15,6
P,12,16,7
P,12,17,7
P,12,18,9
P,12,19,9
P,12,20,5
P,12,28,5
P,12,40,6
P,12,41,8
P,12,42,8
P,12,43,5
P,12,44,5
P,12,45,4
P,12,46,5
P,12,47,5
P,12,48,7
P,12,49,6
P,14,1,4
P,14,2,7
P,14,3,5
P,14,4,9
P,14,8,6
P,14,10,5
P,14,15,5
P,14,16,6
P,14,17,7
P,14,18,7
P,14,21,5
P,14,22,4
P,14,23,8
P,14,26,6
P,14,27,6
P,14,28,6
P,14,29,5
P,16,2,6
P,16,3,9
P,16,6,6
P,16,7,6
P,16,8,7
P,16,9,6
P,16,10,6
P,16,11,4
P,16,12,7
P,16,13,5
P,16,14,7
P,16,15,8
P,16,16,7
P,16,17,5
P,16,18,5
P,16,19,6
P,16,20,6
P,16,21,3
P,16,22,7
P,16,23,7
P,16,24,5
P,16,25,6
P,16,26,4
P,16,27,4
P,16,28,6
P,16,29,7
P,16,30,4
P,16,31,8
P,16,32,7
P,16,33,7
P,16,34,5
P,16,35,6
P,16,36,3
P,19,1,6
P,20,1,4
P,20,2,5
P,20,3,4
P,20,4,7
P,20,5,6
P,20,6,5
P,20,7,6
P,20,8,4
P,20,9,5
P,20,10,9
P,20,11,6
P,20,12,6
P,20,13,3
P,20,14,3
P,20,15,3
P,20,16,4
P,20,17,6
P,24,16,7
P,24,17,6
P,24,18,7
P,25,1,4
P,25,2,7
P,25,3,5
P,25,4,2
P,25,5,5
P,25,6,6
P,25,7,5
P,25,8,5
P,25,9,7
P,25,10,5
P,25,11,6
P,25,12,7
P,25,13,4
P,25,14,6
P,25,15,4
P,25,16,5
P,25,17,8
P,25,18,7
P,25,19,6
P,25,20,8
P,25,21,6
P,25,22,6
P,25,23,5
P,25,24,5
P,25,25,6
P,25,26,5
P,25,27,7
P,25,28,8
P,25,29,4
P,25,30,5
P,25,31,6
P,25,32,6
P,25,33,8
P,25,34,4
P,25,35,10
P,25,36,6
P,25,37,6
P,25,38,4
P,25,39,5
P,25,40,5
P,26,1,5
P,26,2,9
P,26,3,9
P,26,4,6
P,26,5,10
P,26,6,7
P,26,7,7
P,26,8,6
P,26,9,8
P,26,10,9
P,26,11,8
P,26,12,5
P,26,13,5
P,26,14,10
P,26,15,5
P,26,16,5
P,26,17,6
P,26,18,5
P,26,19,9
P,26,20,6
P,26,21,5
P,26,22,4
P,26,23,4
P,26,24,8
P,26,25,7
P,26,26,5
P,26,27,6
P,26,28,7
P,26,29,7
P,26,30,5
P,26,31,5
P,26,32,8
P,26,33,12
P,26,34,6
P,26,35,5
P,26,36,7
P,26,37,3
P,27,1,6
P,27,2,7
P,27,3,9
P,27,4,6
P,27,5,4
P,27,6,7
P,27,7,6
P,27,8,4
P,27,9,7
P,27,10,5
P,27,11,6
P,27,12,6
P,27,13,7
P,27,14,8
P,27,15,6
P,27,16,6
P,27,17,9
P,27,18,6
P,27,19,6
P,27,20,7
P,27,21,6
P,28,1,6
P,28,2,5
P,28,3,6
P,28,4,6
P,28,5,7
P,28,6,8
P,28,7,6
P,28,8,5
P,28,9,8
P,28,10,5
P,28,11,8
P,28,12,7
P,28,13,4
P,28,14,5
P,28,15,6
P,28,16,5
P,28,17,7
P,28,18,4
P,28,19,4
P,28,20,3
P,28,21,8
P,28,22,7
P,28,23,6
P,28,24,6
P,28,25,4
P,28,26,7
P,28,27,8
P,28,28,6
P,28,29,5
P,28,30,6
P,28,31,5
P,28,32,7
P,28,33,5
P,28,34,8
P,28,35,7
P,28,36,6
P,28,37,6
P,28,38,9
P,28,39,6
P,28,40,6
P,28,41,8
P,28,42,8
P,28,43,7
P,29,1,10
P,29,2,3
P,29,3,8
P,29,4,5
P,29,5,7
P,29,6,7
P,29,7,6
P,29,8,4
P,29,9,8
P,29,10,6
P,29,11,5
P,29,12,6
P,29,13,12
P,29,14,6
P,29,15,5
P,29,16,5
P,29,17,7
P,29,18,6
P,29,19,5
P,29,20,6
P,29,21,12
P,29,22,9
P,29,23,9
P,29,24,5
P,29,25,6
P,29,26,6
P,29,27,7
P,29,28,7
P,29,29,7
P,29,30,6
P,29,31,4
P,29,32,7
P,29,33,10
P,29,34,5
P,29,35,6
P,29,36,6
P,29,37,6
P,29,38,6
P,29,39,5
P,29,40,4
P,29,41,4
P,29,42,3
P,29,43,4
P,29,44,7
P,29,45,4
P,29,46,5
P,30,1,5
P,30,2,5
P,30,3,7
P,30,4,8
P,30,5,7
P,30,6,6
P,30,7,5
P,30,8,6
P,30,9,4
P,30,10,8
P,30,11,4
P,30,12,6
P,30,13,5
P,30,14,6
P,30,15,7
P,30,16,7
P,30,17,4
P,30,18,6
P,30,19,5
P,30,20,6
P,30,21,7
P,30,22,4
P,30,23,7
P,30,24,5
P,30,25,5
P,30,26,5
P,30,27,7
P,30,28,5
P,30,29,5
P,30,30,5
P,30,31,5
P,30,32,5
P,30,33,7
