Verse,Book,Depth
0:1:1,Genesis,2
0:1:2,Genesis,2
0:1:3,Genesis,2
0:1:4,Genesis,2
0:1:5,Genesis,2
0:1:6,Genesis,2
0:1:7,Genesis,3
0:1:8,Genesis,2
0:1:9,Genesis,2
0:1:10,Genesis,2
0:1:11,Genesis,3
0:1:12,Genesis,3
0:1:13,Genesis,1
0:1:14,Genesis,2
0:1:15,Genesis,2
0:1:16,Genesis,2
0:1:17,Genesis,2
0:1:18,Genesis,2
0:1:19,Genesis,1
0:1:20,Genesis,2
0:1:21,Genesis,2
0:1:22,Genesis,2
0:1:23,Genesis,1
0:1:24,Genesis,3
0:1:25,Genesis,3
0:1:26,Genesis,3
0:1:27,Genesis,2
0:1:28,Genesis,3
0:1:29,Genesis,3
0:1:30,Genesis,2
0:1:31,Genesis,2
0:2:1,Genesis,1
0:2:2,Genesis,2
0:2:3,Genesis,2
0:2:4,Genesis,2
0:2:5,Genesis,2
0:2:6,Genesis,2
0:2:7,Genesis,2
0:2:8,Genesis,2
0:2:9,Genesis,2
0:2:10,Genesis,2
0:2:11,Genesis,2
0:2:12,Genesis,2
0:2:13,Genesis,2
0:2:14,Genesis,2
0:2:15,Genesis,2
0:2:16,Genesis,2
0:2:17,Genesis,2
0:2:18,Genesis,3
0:2:19,Genesis,3
0:2:20,Genesis,2
0:2:21,Genesis,2
0:2:22,Genesis,2
0:2:23,Genesis,3
0:2:24,Genesis,2
0:2:25,Genesis,2
0:3:1,Genesis,3
0:3:2,Genesis,2
0:3:3,Genesis,3
0:3:4,Genesis,2
0:3:5,Genesis,3
0:3:6,Genesis,2
0:3:7,Genesis,2
0:3:8,Genesis,2
0:3:9,Genesis,2
0:3:10,Genesis,2
0:3:11,Genesis,3
0:3:12,Genesis,2
0:3:13,Genesis,2
0:3:14,Genesis,3
0:3:15,Genesis,2
0:3:16,Genesis,2
0:3:17,Genesis,3
0:3:18,Genesis,2
0:3:19,Genesis,3
0:3:20,Genesis,2
0:3:21,Genesis,1
0:3:22,Genesis,2
0:3:23,Genesis,2
0:3:24,Genesis,2
0:4:1,Genesis,2
0:4:2,Genesis,2
0:4:3,Genesis,2
0:4:4,Genesis,2
0:4:5,Genesis,2
0:4:6,Genesis,2
0:4:7,Genesis,3
0:4:8,Genesis,2
0:4:9,Genesis,2
0:4:10,Genesis,2
0:4:11,Genesis,2
0:4:12,Genesis,2
0:4:13,Genesis,2
0:4:14,Genesis,2
0:4:15,Genesis,2
0:4:16,Genesis,2
0:4:17,Genesis,2
0:4:18,Genesis,2
0:4:19,Genesis,2
0:4:20,Genesis,2
0:4:21,Genesis,2
0:4:22,Genesis,2
0:4:23,Genesis,2
0:4:24,Genesis,2
0:4:25,Genesis,2
0:4:26,Genesis,2
0:5:1,Genesis,2
0:5:2,Genesis,2
0:5:3,Genesis,2
0:5:4,Genesis,2
0:5:5,Genesis,3
0:5:6,Genesis,2
0:5:7,Genesis,2
0:5:8,Genesis,3
0:5:9,Genesis,2
0:5:10,Genesis,3
0:5:11,Genesis,2
0:5:12,Genesis,2
0:5:13,Genesis,2
0:5:14,Genesis,2
0:5:15,Genesis,2
0:5:16,Genesis,2
0:5:17,Genesis,3
0:5:18,Genesis,3
0:5:19,Genesis,2
0:5:20,Genesis,3
0:5:21,Genesis,2
0:5:22,Genesis,2
0:5:23,Genesis,2
0:5:24,Genesis,2
0:5:25,Genesis,3
0:5:26,Genesis,3
0:5:27,Genesis,3
0:5:28,Genesis,3
0:5:29,Genesis,2
0:5:30,Genesis,3
0:5:31,Genesis,3
0:5:32,Genesis,2
0:6:1,Genesis,2
0:6:2,Genesis,2
0:6:3,Genesis,2
0:6:4,Genesis,3
0:6:5,Genesis,3
0:6:6,Genesis,2
0:6:7,Genesis,3
0:6:8,Genesis,1
0:6:9,Genesis,3
0:6:10,Genesis,2
0:6:11,Genesis,2
0:6:12,Genesis,2
0:6:13,Genesis,3
0:6:14,Genesis,2
0:6:15,Genesis,2
0:6:16,Genesis,2
0:6:17,Genesis,3
0:6:18,Genesis,2
0:6:19,Genesis,2
0:6:20,Genesis,3
0:6:21,Genesis,2
0:6:22,Genesis,2
0:7:1,Genesis,2
0:7:2,Genesis,2
0:7:3,Genesis,2
0:7:4,Genesis,2
0:7:5,Genesis,2
0:7:6,Genesis,2
0:7:7,Genesis,2
0:7:8,Genesis,2
0:7:9,Genesis,2
0:7:10,Genesis,2
0:7:11,Genesis,3
0:7:12,Genesis,2
0:7:13,Genesis,2
0:7:14,Genesis,3
0:7:15,Genesis,2
0:7:16,Genesis,3
0:7:17,Genesis,2
0:7:18,Genesis,2
0:7:19,Genesis,2
0:7:20,Genesis,2
0:7:21,Genesis,2
0:7:22,Genesis,1
0:7:23,Genesis,2
0:7:24,Genesis,2
0:8:1,Genesis,3
0:8:2,Genesis,2
0:8:3,Genesis,2
0:8:4,Genesis,2
0:8:5,Genesis,2
0:8:6,Genesis,2
0:8:7,Genesis,2
0:8:8,Genesis,2
0:8:9,Genesis,2
0:8:10,Genesis,2
0:8:11,Genesis,2
0:8:12,Genesis,2
