Source,Book,Chapter,Verse,Word Count
P,Genesis,1,1,7
P,Genesis,1,2,14
P,Genesis,1,3,6
P,Genesis,1,4,12
P,Genesis,1,5,13
P,Genesis,1,6,11
P,Genesis,1,7,17
P,Genesis,1,8,10
P,Genesis,1,9,13
P,Genesis,1,10,12
P,Genesis,1,11,20
P,Genesis,1,12,18
P,Genesis,1,13,6
P,Genesis,1,14,16
P,Genesis,1,15,9
P,Genesis,1,16,18
P,Genesis,1,17,8
P,Genesis,1,18,12
P,Genesis,1,19,6
P,Genesis,1,20,15
P,Genesis,1,21,23
P,Genesis,1,22,13
P,Genesis,1,23,6
P,Genesis,1,24,14
P,Genesis,1,25,18
P,Genesis,1,26,19
P,Genesis,1,27,13
P,Genesis,1,28,22
P,Genesis,1,29,27
P,Genesis,1,30,21
P,Genesis,1,31,15
P,Genesis,2,1,5
P,Genesis,2,2,14
P,Genesis,2,3,16
R,Genesis,2,4,11
J,Genesis,2,5,23
J,Genesis,2,6,9
J,Genesis,2,7,16
J,Genesis,2,8,12
J,Genesis,2,9,19
J,Genesis,2,10,11
J,Genesis,2,11,12
J,Genesis,2,12,8
J,Genesis,2,13,10
J,Genesis,2,14,12
J,Genesis,2,15,10
J,Genesis,2,16,11
J,Genesis,2,17,13
J,Genesis,2,18,12
J,Genesis,2,19,28
J,Genesis,2,20,15
J,Genesis,2,21,13
J,Genesis,2,22,13
J,Genesis,2,23,15
J,Genesis,2,24,13
J,Genesis,2,25,7
J,Genesis,3,1,22
J,Genesis,3,2,8
J,Genesis,3,3,15
J,Genesis,3,4,7
J,Genesis,3,5,14
J,Genesis,3,6,21
J,Genesis,3,7,13
J,Genesis,3,8,18
J,Genesis,3,9,8
J,Genesis,3,10,10
J,Genesis,3,11,15
J,Genesis,3,12,12
J,Genesis,3,13,12
J,Genesis,3,14,23
J,Genesis,3,15,15
J,Genesis,3,16,16
J,Genesis,3,17,23
J,Genesis,3,18,8
J,Genesis,3,19,17
J,Genesis,3,20,11
J,Genesis,3,21,8
J,Genesis,3,22,22
J,Genesis,3,23,11
J,Genesis,3,24,18
J,Genesis,4,1,14
J,Genesis,4,2,14
J,Genesis,4,3,9
J,Genesis,4,4,13
J,Genesis,4,5,11
J,Genesis,4,6,10
J,Genesis,4,7,15
J,Genesis,4,8,14
J,Genesis,4,9,13
J,Genesis,4,10,10
J,Genesis,4,11,14
J,Genesis,4,12,13
J,Genesis,4,13,7
J,Genesis,4,14,17
J,Genesis,4,15,18
J,Genesis,4,16,9
J,Genesis,4,17,17
J,Genesis,4,18,16
J,Genesis,4,19,11
J,Genesis,4,20,10
J,Genesis,4,21,10
J,Genesis,4,22,14
J,Genesis,4,23,17
J,Genesis,4,24,7
J,Genesis,4,25,22
J,Genesis,4,26,14
R,Genesis,5,1,12
R,Genesis,5,2,11
R,Genesis,5,3,12
R,Genesis,5,4,13
R,Genesis,5,5,12
R,Genesis,5,6,9
R,Genesis,5,7,14
R,Genesis,5,8,11
R,Genesis,5,9,7
R,Genesis,5,10,15
R,Genesis,5,11,10
