Word,Frequency
בְּרֵאשִׁ֖ית,1
בָּרָ֣א,2
אֱלֹהִ֑ים,9
אֵ֥ת,25
הַשָּׁמַ֖יִם,15
וְאֵ֥ת,8
הָאָֽרֶץ,66
וְהָאָ֗רֶץ,3
הָיְתָ֥ה,5
תֹ֨הוּ֙,1
וָבֹ֔הוּ,1
וְחֹ֖שֶׁךְ,1
עַל,856
פְּנֵ֣י,33
תְה֑וֹם,1
וְר֣וּחַ,1
אֱלֹהִ֔ים,28
מְרַחֶ֖פֶת,1
פְּנֵ֥י,33
הַמָּֽיִם,7
וַיֹּ֥אמֶר,65
אֱלֹהִ֖ים,58
יְהִ֣י,1
א֑וֹר,2
וַֽיְהִי,33
אֽוֹר,1
וַיַּ֧רְא,3
אֱלֹהִ֛ים,18
אֶת,2299
הָא֖וֹר,3
כִּי,92
ט֑וֹב,2
וַיַּבְדֵּ֣ל,1
בֵּ֥ין,29
וּבֵ֥ין,16
הַחֹֽשֶׁךְ,1
וַיִּקְרָ֨א,15
אֱלֹהִ֤ים,10
לָאוֹר֙,1
י֔וֹם,11
וְלַחֹ֖שֶׁךְ,1
קָ֣רָא,1
לָ֑יְלָה,7
עֶ֥רֶב,6
בֹ֖קֶר,6
י֥וֹם,17
אֶחָֽד,14
וַיֹּ֣אמֶר,117
יְהִ֥י,5
רָקִ֖יעַ,1
בְּת֣וֹךְ,18
הַמָּ֑יִם,8
וִיהִ֣י,1
מַבְדִּ֔יל,1
מַ֖יִם,16
לָמָֽיִם,1
וַיַּ֣עַשׂ,14
אֱלֹהִים֮,4
הָרָקִיעַ֒,1
וַיַּבְדֵּ֗ל,1
בֵּ֤ין,2
הַמַּ֨יִם֙,6
אֲשֶׁר֙,49
מִתַּ֣חַת,3
לָרָקִ֔יעַ,1
וּבֵ֣ין,21
הַמַּ֔יִם,8
אֲשֶׁ֖ר,65
מֵעַ֣ל,15
לָרָקִ֑יעַ,1
כֵֽן,8
וַיִּקְרָ֧א,7
לָֽרָקִ֖יעַ,1
שָׁמָ֑יִם,1
שֵׁנִֽי,1
אֱלֹהִ֗ים,15
יִקָּו֨וּ,1
הַמַּ֜יִם,2
מִתַּ֤חַת,1
הַשָּׁמַ֨יִם֙,3
אֶל,1091
מָק֣וֹם,1
אֶחָ֔ד,13
וְתֵרָאֶ֖ה,1
הַיַּבָּשָׁ֑ה,2
לַיַּבָּשָׁה֙,1
אֶ֔רֶץ,2
וּלְמִקְוֵ֥ה,1
הַמַּ֖יִם,8
קָרָ֣א,4
יַמִּ֑ים,1
וַיַּ֥רְא,16
טֽוֹב,7
תַּֽדְשֵׁ֤א,1
הָאָ֨רֶץ֙,18
דֶּ֔שֶׁא,1
עֵ֚שֶׂב,1
מַזְרִ֣יעַ,1
זֶ֔רַע,3
עֵ֣ץ,7
פְּרִ֞י,1
עֹ֤שֶׂה,1
פְּרִי֙,1
לְמִינ֔וֹ,2
אֲשֶׁ֥ר,366
זַרְעוֹ,2
ב֖וֹ,19
הָאָ֑רֶץ,59
וַתּוֹצֵ֨א,1
הָאָ֜רֶץ,10
דֶּ֠שֶׁא,1
עֵ֣שֶׂב,4
מַזְרִ֤יעַ,1
זֶ֨רַע֙,1
לְמִינֵ֔הוּ,4
וְעֵ֧ץ,1
עֹ֥שֶׂה,3
פְּרִ֛י,1
לְמִינֵ֑הוּ,5
שְׁלִישִֽׁי,1
