Source,Word,Count
P,בְּרֵאשִׁ֖ית,1
P,בָּרָ֣א,2
P,אֱלֹהִ֑ים,5
P,אֵ֥ת,8
P,הַשָּׁמַ֖יִם,2
P,וְאֵ֥ת,5
P,הָאָֽרֶץ,32
P,וְהָאָ֗רֶץ,2
P,הָיְתָ֥ה,2
P,תֹ֨הוּ֙,1
P,וָבֹ֔הוּ,1
P,וְחֹ֖שֶׁךְ,1
P,עַל,448
P,פְּנֵ֣י,14
P,תְה֑וֹם,1
P,וְר֣וּחַ,1
P,אֱלֹהִ֔ים,12
P,מְרַחֶ֖פֶת,1
P,פְּנֵ֥י,13
P,הַמָּֽיִם,5
P,וַיֹּ֥אמֶר,17
P,אֱלֹהִ֖ים,26
P,יְהִ֣י,1
P,א֑וֹר,1
P,וַֽיְהִי,19
P,אֽוֹר,1
P,וַיַּ֧רְא,2
P,אֱלֹהִ֛ים,3
P,אֶת,1056
P,הָא֖וֹר,3
P,כִּי,23
P,ט֑וֹב,1
P,וַיַּבְדֵּ֣ל,1
P,בֵּ֥ין,16
P,וּבֵ֥ין,6
P,הַחֹֽשֶׁךְ,1
P,וַיִּקְרָ֨א,5
P,אֱלֹהִ֤ים,5
P,לָאוֹר֙,1
P,י֔וֹם,5
P,וְלַחֹ֖שֶׁךְ,1
P,קָ֣רָא,1
P,לָ֑יְלָה,1
P,עֶ֥רֶב,6
P,בֹ֖קֶר,6
P,י֥וֹם,10
P,אֶחָֽד,7
P,וַיֹּ֣אמֶר,29
P,יְהִ֥י,2
P,רָקִ֖יעַ,1
P,בְּת֣וֹךְ,9
P,הַמָּ֑יִם,1
P,וִיהִ֣י,1
P,מַבְדִּ֔יל,1
P,מַ֖יִם,6
P,לָמָֽיִם,1
P,וַיַּ֣עַשׂ,10
P,אֱלֹהִים֮,1
P,הָרָקִיעַ֒,1
P,וַיַּבְדֵּ֗ל,1
P,בֵּ֤ין,2
P,הַמַּ֨יִם֙,5
P,אֲשֶׁר֙,14
P,מִתַּ֣חַת,3
P,לָרָקִ֔יעַ,1
P,וּבֵ֣ין,12
P,הַמַּ֔יִם,3
P,אֲשֶׁ֖ר,34
P,מֵעַ֣ל,7
P,לָרָקִ֑יעַ,1
P,כֵֽן,7
