Book,Chapter,Verse,Total Words,Unique Words
Genesis,1,1,7,7
Genesis,1,2,14,13
Genesis,1,3,6,6
Genesis,1,4,12,11
Genesis,1,5,13,12
Genesis,1,6,11,11
Genesis,1,7,17,17
Genesis,1,8,10,9
Genesis,1,9,13,13
Genesis,1,10,12,12
Genesis,1,11,20,20
Genesis,1,12,18,18
Genesis,1,13,6,5
Genesis,1,14,16,16
Genesis,1,15,9,9
Genesis,1,16,18,15
Genesis,1,17,8,8
Genesis,1,18,12,12
Genesis,1,19,6,5
Genesis,1,20,15,14
Genesis,1,21,23,22
Genesis,1,22,13,13
Genesis,1,23,6,5
Genesis,1,24,14,14
Genesis,1,25,18,18
Genesis,1,26,19,18
Genesis,1,27,13,13
Genesis,1,28,22,22
Genesis,1,29,27,25
Genesis,1,30,21,21
Genesis,1,31,15,14
Genesis,2,1,5,5
Genesis,2,2,14,11
Genesis,2,3,16,16
Genesis,2,4,11,11
Genesis,2,5,23,23
Genesis,2,6,9,9
Genesis,2,7,16,16
Genesis,2,8,12,12
Genesis,2,9,19,19
Genesis,2,10,11,11
Genesis,2,11,12,12
Genesis,2,12,8,8
Genesis,2,13,10,10
Genesis,2,14,12,11
Genesis,2,15,10,10
Genesis,2,16,11,11
Genesis,2,17,13,13
Genesis,2,18,12,12
Genesis,2,19,28,27
Genesis,2,20,15,15
Genesis,2,21,13,13
Genesis,2,22,13,13
Genesis,2,23,15,15
Genesis,2,24,13,13
Genesis,2,25,7,7
Genesis,3,1,22,22
Genesis,3,2,8,8
Genesis,3,3,15,15
Genesis,3,4,7,7
Genesis,3,5,14,14
Genesis,3,6,21,21
Genesis,3,7,13,13
Genesis,3,8,18,18
Genesis,3,9,8,8
Genesis,3,10,10,10
Genesis,3,11,15,15
Genesis,3,12,12,12
Genesis,3,13,12,12
Genesis,3,14,23,23
Genesis,3,15,15,14
Genesis,3,16,16,16
Genesis,3,17,23,23
Genesis,3,18,8,8
Genesis,3,19,17,17
Genesis,3,20,11,11
Genesis,3,21,8,8
Genesis,3,22,22,22
Genesis,3,23,11,11
Genesis,3,24,18,16
Genesis,4,1,14,12
Genesis,4,2,14,13
Genesis,4,3,9,9
Genesis,4,4,13,13
Genesis,4,5,11,10
Genesis,4,6,10,10
Genesis,4,7,15,15
Genesis,4,8,14,13
Genesis,4,9,13,13
Genesis,4,10,10,10
Genesis,4,11,14,13
Genesis,4,12,13,13
Genesis,4,13,7,7
Genesis,4,14,17,17
Genesis,4,15,18,17
Genesis,4,16,9,9
Genesis,4,17,17,16
Genesis,4,18,16,13
Genesis,4,19,11,11
Genesis,4,20,10,10
Genesis,4,21,10,10
Genesis,4,22,14,14
Genesis,4,23,17,17
Genesis,4,24,7,7
Genesis,4,25,22,21
Genesis,4,26,14,14
Genesis,5,1,12,12
Genesis,5,2,11,11
Genesis,5,3,12,12
Genesis,5,4,13,13
Genesis,5,5,12,12
Genesis,5,6,9,9
Genesis,5,7,14,14
Genesis,5,8,11,11
Genesis,5,9,7,7
Genesis,5,10,15,15
Genesis,5,11,10,10
Genesis,5,12,7,7
Genesis,5,13,14,14
Genesis,5,14,10,10
Genesis,5,15,9,9
Genesis,5,16,14,14
Genesis,5,17,11,11
Genesis,5,18,10,10
Genesis,5,19,12,12
Genesis,5,20,11,11
Genesis,5,21,8,8
Genesis,5,22,14,13
Genesis,5,23,10,10
Genesis,5,24,9,9
Genesis,5,25,10,10
Genesis,5,26,15,15
Genesis,5,27,11,11
Genesis,5,28,9,9
Genesis,5,29,15,15
Genesis,5,30,15,15
Genesis,5,31,11,11
Genesis,5,32,14,13
Genesis,6,1,11,11
Genesis,6,2,15,15
Genesis,6,3,15,15
Genesis,6,4,23,23
Genesis,6,5,15,15
Genesis,6,6,10,10
Genesis,6,7,22,20
Genesis,6,8,5,5
Genesis,6,9,13,13
Genesis,6,10,10,9
Genesis,6,11,7,6
Genesis,6,12,14,13
Genesis,6,13,17,17
Genesis,6,14,14,14
Genesis,6,15,15,15
Genesis,6,16,15,15
Genesis,6,17,21,20
Genesis,6,18,13,13
Genesis,6,19,14,14
Genesis,6,20,14,13
Genesis,6,21,13,13
Genesis,6,22,9,9
Genesis,7,1,16,16
Genesis,7,2,18,18
Genesis,7,3,13,13
Genesis,7,4,21,21
Genesis,7,5,6,6
Genesis,7,6,10,10
Genesis,7,7,12,12
Genesis,7,8,15,15
Genesis,7,9,14,13
Genesis,7,10,8,8
Genesis,7,11,22,22
Genesis,7,12,8,8
Genesis,7,13,18,18
Genesis,7,14,20,17
Genesis,7,15,13,12
Genesis,7,16,13,13
Genesis,7,17,14,14
Genesis,7,18,11,10
Genesis,7,19,14,13
Genesis,7,20,8,8
Genesis,7,21,16,15
Genesis,7,22,10,10
Genesis,7,23,25,24
Genesis,7,24,7,7
Genesis,8,1,20,19
Genesis,8,2,9,9
Genesis,8,3,12,12
Genesis,8,4,11,11
Genesis,8,5,13,13
Genesis,8,6,11,11
Genesis,8,7,11,11
Genesis,8,8,10,10
Genesis,8,9,24,23
Genesis,8,10,11,11
Genesis,8,11,17,17
Genesis,8,12,13,13
Genesis,8,13,22,22
Genesis,8,14,8,8
Genesis,8,15,5,5
Genesis,8,16,9,9
Genesis,8,17,21,20
Genesis,8,18,7,7
Genesis,8,19,14,13
Genesis,8,20,14,14
Genesis,8,21,32,30
Genesis,8,22,14,14
Genesis,9,1,13,12
Genesis,9,2,20,19
Genesis,9,3,14,14
Genesis,9,4,6,6
Genesis,9,5,18,17
Genesis,9,6,12,12
Genesis,9,7,7,7
Genesis,9,8,8,8
Genesis,9,9,9,9
Genesis,9,10,18,17
Genesis,9,11,17,16
Genesis,9,12,18,18
Genesis,9,13,10,10
Genesis,9,14,8,8
Genesis,9,15,20,19
Genesis,9,16,18,18
Genesis,9,17,16,16
Genesis,9,18,13,13
Genesis,9,19,8,8
Genesis,9,20,6,6
Genesis,9,21,7,7
Genesis,9,22,11,11
Genesis,9,23,21,20
Genesis,9,24,10,10
Genesis,9,25,7,7
Genesis,9,26,9,9
Genesis,9,27,10,10
Genesis,9,28,9,9
Genesis,9,29,10,10
Genesis,10,1,12,12
